VAR	ENSEMBL	NAME
BMP2	ENSG00000125845	bone morphogenetic protein 2
FLRT3	ENSG00000125848	fibronectin leucine rich transmembrane protein 3
DSTN	ENSG00000125868	destrin, actin depolymerizing factor
LAMP5	ENSG00000125869	lysosomal associated membrane protein family member 5
MGME1	ENSG00000125871	mitochondrial genome maintenance exonuclease 1
TBC1D20	ENSG00000125875	TBC1 domain family member 20
FAM110A	ENSG00000125898	family with sequence similarity 110 member A
HNRNPR	ENSG00000125944	heterogeneous nuclear ribonucleoprotein R
ZNF436	ENSG00000125945	zinc finger protein 436
NECAB3	ENSG00000125967	N-terminal EF-hand calcium binding protein 3
AMOT	ENSG00000126016	angiomotin
ST3GAL3	ENSG00000126091	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
MCF2L	ENSG00000126217	MCF.2 cell line derived transforming sequence like
LRFN3	ENSG00000126243	leucine rich repeat and fibronectin type III domain containing 3
IGFLR1	ENSG00000126246	IGF like family receptor 1
THRA	ENSG00000126351	thyroid hormone receptor alpha
CCR7	ENSG00000126353	C-C motif chemokine receptor 7
TSKS	ENSG00000126467	testis specific serine kinase substrate
ASL	ENSG00000126522	argininosuccinate lyase
STAT5A	ENSG00000126561	signal transducer and activator of transcription 5A
TRAP1	ENSG00000126602	TNF receptor associated protein 1
IFI6	ENSG00000126709	interferon alpha inducible protein 6
EMG1	ENSG00000126749	EMG1 N1-specific pseudouridine methyltransferase
KTN1	ENSG00000126777	kinectin 1
SGPP1	ENSG00000126821	sphingosine-1-phosphate phosphatase 1
PLEKHG3	ENSG00000126822	pleckstrin homology and RhoGEF domain containing G3
DYNC2I1	ENSG00000126870	dynein 2 intermediate chain 1
AIF1L	ENSG00000126878	allograft inflammatory factor 1 like
FAM78A	ENSG00000126882	family with sequence similarity 78 member A
HNRNPH2	ENSG00000126945	heterogeneous nuclear ribonucleoprotein H2
ARMCX1	ENSG00000126947	armadillo repeat containing X-linked 1
BCL11B	ENSG00000127152	BAF chromatin remodeling complex subunit BCL11B
ATP13A4	ENSG00000127249	ATPase 13A4
TSPAN8	ENSG00000127324	tetraspanin 8
BEST3	ENSG00000127325	bestrophin 3
RAB3IP	ENSG00000127328	RAB3A interacting protein
PTPRB	ENSG00000127329	protein tyrosine phosphatase receptor type B
DYRK2	ENSG00000127334	dual specificity tyrosine phosphorylation regulated kinase 2
LRRC61	ENSG00000127399	leucine rich repeat containing 61
FGFRL1	ENSG00000127418	fibroblast growth factor receptor like 1
ADGRE2	ENSG00000127507	adhesion G protein-coupled receptor E2
OR7C1	ENSG00000127530	olfactory receptor family 7 subfamily C member 1
F2RL3	ENSG00000127533	F2R like thrombin or trypsin receptor 3
UQCR11	ENSG00000127540	ubiquinol-cytochrome c reductase, complex III subunit XI
TUBBP1	ENSG00000127589	tubulin beta pseudogene 1
KDM4B	ENSG00000127663	lysine demethylase 4B
METTL16	ENSG00000127804	methyltransferase like 16
ZNF835	ENSG00000127903	zinc finger protein 835
GNG11	ENSG00000127920	G protein subunit gamma 11
HIP1	ENSG00000127946	huntingtin interacting protein 1
PTPN12	ENSG00000127947	protein tyrosine phosphatase non-receptor type 12
POR	ENSG00000127948	cytochrome p450 oxidoreductase
GNAI1	ENSG00000127955	G protein subunit alpha i1
PEX1	ENSG00000127980	peroxisomal biogenesis factor 1
SGCE	ENSG00000127990	sarcoglycan epsilon
SPINK2	ENSG00000128040	serine peptidase inhibitor Kazal type 2
ADM2	ENSG00000128165	adrenomedullin 2
ASPHD2	ENSG00000128203	aspartate beta-hydroxylase domain containing 2
VPREB3	ENSG00000128218	V-set pre-B cell surrogate light chain 3
SDF2L1	ENSG00000128228	stromal cell derived factor 2 like 1
YWHAH	ENSG00000128245	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
POM121L9P	ENSG00000128262	POM121 transmembrane nucleoporin like 9, pseudogene
GNAZ	ENSG00000128266	G protein subunit alpha z
APOL3	ENSG00000128284	apolipoprotein L3
TPST2	ENSG00000128294	tyrosylprotein sulfotransferase 2
IGLL1	ENSG00000128322	immunoglobulin lambda like polypeptide 1
APOL2	ENSG00000128335	apolipoprotein L2
LIF	ENSG00000128342	LIF interleukin 6 family cytokine
RIBC2	ENSG00000128408	RIB43A domain with coiled-coils 2
TBC1D27P	ENSG00000128438	TBC1 domain family member 27, pseudogene
RNF112	ENSG00000128482	ring finger protein 112
CDHR3	ENSG00000128536	cadherin related family member 3
VGF	ENSG00000128564	VGF nerve growth factor inducible
PODXL	ENSG00000128567	podocalyxin like
STRIP2	ENSG00000128578	striatin interacting protein 2
FLNC	ENSG00000128591	filamin C
LRRC4	ENSG00000128594	leucine rich repeat containing 4
CCDC136	ENSG00000128596	coiled-coil domain containing 136
SMO	ENSG00000128602	smoothened, frizzled class receptor
IRF5	ENSG00000128604	interferon regulatory factor 5
LRRC17	ENSG00000128606	leucine rich repeat containing 17
MYO1B	ENSG00000128641	myosin IB
MTX2	ENSG00000128654	metaxin 2
ORMDL1	ENSG00000128699	ORMDL sphingolipid biosynthesis regulator 1
TWSG1	ENSG00000128791	twisted gastrulation BMP signaling modulator 1
ARHGAP22	ENSG00000128805	Rho GTPase activating protein 22
WDFY4	ENSG00000128815	WDFY family member 4
EIF2AK4	ENSG00000128829	eukaryotic translation initiation factor 2 alpha kinase 4
MYO5C	ENSG00000128833	myosin VC
CGNL1	ENSG00000128849	cingulin like 1
TMOD2	ENSG00000128872	tropomodulin 2
ELL3	ENSG00000128886	elongation factor for RNA polymerase II 3
INO80	ENSG00000128908	INO80 complex ATPase subunit
DLL4	ENSG00000128917	delta like canonical Notch ligand 4
ALDH1A2	ENSG00000128918	aldehyde dehydrogenase 1 family member A2
MINDY2	ENSG00000128923	MINDY lysine 48 deubiquitinase 2
CHAC1	ENSG00000128965	ChaC glutathione specific gamma-glutamylcyclotransferase 1
CLN6	ENSG00000128973	CLN6 transmembrane ER protein
LOXL1	ENSG00000129038	lysyl oxidase like 1
COPB1	ENSG00000129083	COPI coat complex subunit beta 1
SUMF2	ENSG00000129103	sulfatase modifying factor 2
PALLD	ENSG00000129116	palladin, cytoskeletal associated protein
SPCS3	ENSG00000129128	signal peptidase complex subunit 3
USP6	ENSG00000129204	ubiquitin specific peptidase 6
PLD2	ENSG00000129219	phospholipase D2
KIF1C	ENSG00000129250	kinesin family member 1C
LRRC6	ENSG00000129295	leucine rich repeat containing 6
AP1M2	ENSG00000129354	adaptor related protein complex 1 subunit mu 2
MTUS1	ENSG00000129422	microtubule associated scaffold protein 1
RIPK3	ENSG00000129465	receptor interacting serine/threonine kinase 3
ADCY4	ENSG00000129467	adenylate cyclase 4
RAB2B	ENSG00000129472	RAB2B, member RAS oncogene family
AJUBA	ENSG00000129474	ajuba LIM protein
PARP2	ENSG00000129484	poly(ADP-ribose) polymerase 2
NRL	ENSG00000129535	neural retina leucine zipper
FGF13	ENSG00000129682	fibroblast growth factor 13
CHRNA10	ENSG00000129749	cholinergic receptor nicotinic alpha 10 subunit
CDKN1C	ENSG00000129757	cyclin dependent kinase inhibitor 1C
KCNA5	ENSG00000130037	potassium voltage-gated channel subfamily A member 5
CRACR2A	ENSG00000130038	calcium release activated channel regulator 2A
STARD8	ENSG00000130052	StAR related lipid transfer domain containing 8
SH3BP4	ENSG00000130147	SH3 domain binding protein 4
NECTIN2	ENSG00000130202	nectin cell adhesion molecule 2
DPP6	ENSG00000130226	dipeptidyl peptidase like 6
ATP8B3	ENSG00000130270	ATPase phospholipid transporting 8B3
KIF1A	ENSG00000130294	kinesin family member 1A
PLVAP	ENSG00000130300	plasmalemma vesicle associated protein
BST2	ENSG00000130303	bone marrow stromal cell antigen 2
NSUN5	ENSG00000130305	NOP2/Sun RNA methyltransferase 5
PGLS	ENSG00000130313	6-phosphogluconolactonase
LSM7	ENSG00000130332	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
SNX9	ENSG00000130340	sorting nexin 9
AFDN	ENSG00000130396	afadin, adherens junction formation factor
STK33	ENSG00000130413	serine/threonine kinase 33
CACNG6	ENSG00000130433	calcium voltage-gated channel auxiliary subunit gamma 6
FCHO1	ENSG00000130475	FCH and mu domain containing endocytic adaptor 1
UNC13A	ENSG00000130477	unc-13 homolog A
KLHDC7B	ENSG00000130487	kelch domain containing 7B
PXDN	ENSG00000130508	peroxidasin
SSBP4	ENSG00000130511	single stranded DNA binding protein 4
PGPEP1	ENSG00000130517	pyroglutamyl-peptidase I
TRPM4	ENSG00000130529	transient receptor potential cation channel subfamily M member 4
CAMSAP1	ENSG00000130559	calmodulin regulated spectrin associated protein 1
ZBTB46	ENSG00000130584	zinc finger and BTB domain containing 46
HELZ2	ENSG00000130589	helicase with zinc finger 2
SAMD10	ENSG00000130590	sterile alpha motif domain containing 10
LSP1	ENSG00000130592	lymphocyte specific protein 1
TNNT3	ENSG00000130595	troponin T3, fast skeletal type
TNNI2	ENSG00000130598	troponin I2, fast skeletal type
H19	ENSG00000130600	H19 imprinted maternally expressed transcript
COL5A1	ENSG00000130635	collagen type V alpha 1 chain
CYP2E1	ENSG00000130649	cytochrome P450 family 2 subfamily E member 1
LAMA5	ENSG00000130702	laminin subunit alpha 5
OSBPL2	ENSG00000130703	oxysterol binding protein like 2
ASS1	ENSG00000130707	argininosuccinate synthase 1
TMEM160	ENSG00000130748	transmembrane protein 160
SMPDL3B	ENSG00000130768	sphingomyelin phosphodiesterase acid like 3B
THEMIS2	ENSG00000130775	thymocyte selection associated family member 2
HIP1R	ENSG00000130787	huntingtin interacting protein 1 related
PPAN	ENSG00000130810	peter pan homolog
ANGPTL6	ENSG00000130812	angiopoietin like 6
SHFL	ENSG00000130813	shiftless antiviral inhibitor of ribosomal frameshifting
MPP1	ENSG00000130830	membrane palmitoylated protein 1
LRP3	ENSG00000130881	LDL receptor related protein 3
NOL11	ENSG00000130935	nucleolar protein 11
HABP4	ENSG00000130956	hyaluronan binding protein 4
SLC35D2	ENSG00000130958	solute carrier family 35 member D2
PRRG1	ENSG00000130962	proline rich and Gla domain 1
AKAP12	ENSG00000131016	A-kinase anchoring protein 12
LATS1	ENSG00000131023	large tumor suppressor kinase 1
LILRB2	ENSG00000131042	leukocyte immunoglobulin like receptor B2
TTLL9	ENSG00000131044	tubulin tyrosine ligase like 9
GGT7	ENSG00000131067	gamma-glutamyltransferase 7
ACSS2	ENSG00000131069	acyl-CoA synthetase short chain family member 2
EDA2R	ENSG00000131080	ectodysplasin A2 receptor
GFAP	ENSG00000131095	glial fibrillary acidic protein
CCL25	ENSG00000131142	C-C motif chemokine ligand 25
F12	ENSG00000131187	coagulation factor XII
NFATC1	ENSG00000131196	nuclear factor of activated T cells 1
RAB11FIP4	ENSG00000131242	RAB11 family interacting protein 4
TRAF3	ENSG00000131323	TNF receptor associated factor 3
HAUS8	ENSG00000131351	HAUS augmin like complex subunit 8
SH3BP5	ENSG00000131370	SH3 domain binding protein 5
TBC1D5	ENSG00000131374	TBC1 domain family member 5
RFTN1	ENSG00000131378	raftlin, lipid raft linker 1
RBSN	ENSG00000131381	rabenosyn, RAB effector
SLC6A6	ENSG00000131389	solute carrier family 6 member 6
KCNC3	ENSG00000131398	potassium voltage-gated channel subfamily C member 3
NAPSB	ENSG00000131401	napsin B aspartic peptidase, pseudogene
NDFIP1	ENSG00000131507	Nedd4 family interacting protein 1
UBE2D2	ENSG00000131508	ubiquitin conjugating enzyme E2 D2
ANO1	ENSG00000131620	anoctamin 1
PPFIA1	ENSG00000131626	PTPRF interacting protein alpha 1
TMEM204	ENSG00000131634	transmembrane protein 204
BARX1	ENSG00000131668	BARX homeobox 1
CA6	ENSG00000131686	carbonic anhydrase 6
NPHP4	ENSG00000131697	nephrocystin 4
IL13RA1	ENSG00000131724	interleukin 13 receptor subunit alpha 1
PPP1R1B	ENSG00000131771	protein phosphatase 1 regulatory inhibitor subunit 1B
KHDRBS3	ENSG00000131773	KH RNA binding domain containing, signal transduction associated 3
CHD1L	ENSG00000131778	chromodomain helicase DNA binding protein 1 like
PEX11B	ENSG00000131779	peroxisomal biogenesis factor 11 beta
PRKAB2	ENSG00000131791	protein kinase AMP-activated non-catalytic subunit beta 2
CLUHP3	ENSG00000131797	clustered mitochondria homolog pseudogene 3
PDHA1	ENSG00000131828	pyruvate dehydrogenase E1 subunit alpha 1
ZNF132	ENSG00000131849	zinc finger protein 132
CHSY1	ENSG00000131873	chondroitin sulfate synthase 1
RHPN2	ENSG00000131941	rhophilin Rho GTPase binding protein 2
ACTR10	ENSG00000131966	actin related protein 10
ABHD12B	ENSG00000131969	abhydrolase domain containing 12B
GCH1	ENSG00000131979	GTP cyclohydrolase 1
FBXW9	ENSG00000132004	F-box and WD repeat domain containing 9
C19orf57	ENSG00000132016	chromosome 19 open reading frame 57
MATN3	ENSG00000132031	matrilin 3
SPATA6	ENSG00000132122	spermatogenesis associated 6
NUP210	ENSG00000132182	nucleoporin 210
FCRLA	ENSG00000132185	Fc receptor like A
ENOSF1	ENSG00000132199	enolase superfamily member 1
LINC00470	ENSG00000132204	long intergenic non-protein coding RNA 470
EMILIN2	ENSG00000132205	elastin microfibril interfacer 2
TRIM22	ENSG00000132274	tripartite motif containing 22
EFR3A	ENSG00000132294	EFR3 homolog A
RAMP1	ENSG00000132329	receptor activity modifying protein 1
PTPRE	ENSG00000132334	protein tyrosine phosphatase receptor type E
PRKAA1	ENSG00000132356	protein kinase AMP-activated catalytic subunit alpha 1
CARD6	ENSG00000132357	caspase recruitment domain family member 6
RAP1GAP2	ENSG00000132359	RAP1 GTPase activating protein 2
UBE2G1	ENSG00000132388	ubiquitin conjugating enzyme E2 G1
EEFSEC	ENSG00000132394	eukaryotic elongation factor, selenocysteine-tRNA specific
COQ3	ENSG00000132423	coenzyme Q3, methyltransferase
GRSF1	ENSG00000132463	G-rich RNA sequence binding factor 1
ENAM	ENSG00000132464	enamelin
JCHAIN	ENSG00000132465	joining chain of multimeric IgA and IgM
TRIM47	ENSG00000132481	tripartite motif containing 47
CLEC10A	ENSG00000132514	C-type lectin domain containing 10A
XAF1	ENSG00000132530	XIAP associated factor 1
REEP2	ENSG00000132563	receptor accessory protein 2
TERF2	ENSG00000132604	telomeric repeat binding factor 2
ANKEF1	ENSG00000132623	ankyrin repeat and EF-hand domain containing 1
BTBD3	ENSG00000132640	BTB domain containing 3
POLR3F	ENSG00000132664	RNA polymerase III subunit F
RIN2	ENSG00000132669	Ras and Rab interactor 2
PTPRA	ENSG00000132670	protein tyrosine phosphatase receptor type A
ARHGEF11	ENSG00000132694	Rho guanine nucleotide exchange factor 11
FCRL2	ENSG00000132704	Fc receptor like 2
SYT11	ENSG00000132718	synaptotagmin 11
ACY3	ENSG00000132744	aminoacylase 3
TESMIN	ENSG00000132749	testis expressed metallothionein like protein
NASP	ENSG00000132780	nuclear autoantigenic sperm protein
CTNNBL1	ENSG00000132792	catenin beta like 1
LPIN3	ENSG00000132793	lipin 3
VSTM2L	ENSG00000132821	V-set and transmembrane domain containing 2 like
SERINC3	ENSG00000132824	serine incorporator 3
FBXO44	ENSG00000132879	F-box protein 44
CASP9	ENSG00000132906	caspase 9
ATP8A2	ENSG00000132932	ATPase phospholipid transporting 8A2
MTUS2	ENSG00000132938	microtubule associated scaffold protein 2
CDK8	ENSG00000132964	cyclin dependent kinase 8
HMGB1P5	ENSG00000132967	high mobility group box 1 pseudogene 5
GPR12	ENSG00000132975	G protein-coupled receptor 12
CHRM3	ENSG00000133019	cholinergic receptor muscarinic 3
MYH10	ENSG00000133026	myosin heavy chain 10
MYBPH	ENSG00000133055	myosin binding protein H
DSTYK	ENSG00000133059	dual serine/threonine and tyrosine protein kinase
LGR6	ENSG00000133067	leucine rich repeat containing G protein-coupled receptor 6
CCNA1	ENSG00000133101	cyclin A1
SPART	ENSG00000133104	spartin
EPSTI1	ENSG00000133106	epithelial stromal interaction 1
STARD13	ENSG00000133121	StAR related lipid transfer domain containing 13
MORC4	ENSG00000133131	MORC family CW-type zinc finger 4
TBC1D8B	ENSG00000133138	TBC1 domain family member 8B
TCEAL4	ENSG00000133142	transcription elongation factor A like 4
EPHB2	ENSG00000133216	EPH receptor B2
PDE6B	ENSG00000133256	phosphodiesterase 6B
MACROD1	ENSG00000133315	mono-ADP ribosylhydrolase 1
RTN3	ENSG00000133318	reticulon 3
LARGE1	ENSG00000133424	LARGE xylosyl- and glucuronyltransferase 1
MYO18B	ENSG00000133454	myosin XVIIIB
GIMAP6	ENSG00000133561	GTPase, IMAP family member 6
AGAP3	ENSG00000133612	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
ACTR3B	ENSG00000133627	actin related protein 3B
ATP13A3	ENSG00000133657	ATPase 13A3
LRRCC1	ENSG00000133739	leucine rich repeat and coiled-coil centrosomal protein 1
E2F5	ENSG00000133740	E2F transcription factor 5
SWAP70	ENSG00000133789	switching B cell complex subunit SWAP70
ARNTL	ENSG00000133794	aryl hydrocarbon receptor nuclear translocator like
LYVE1	ENSG00000133800	lymphatic vessel endothelial hyaluronan receptor 1
AMPD3	ENSG00000133805	adenosine monophosphate deaminase 3
RRAS2	ENSG00000133818	RAS related 2
RNF122	ENSG00000133874	ring finger protein 122
DUSP26	ENSG00000133878	dual specificity phosphatase 26
GSC	ENSG00000133937	goosecoid homeobox
UNC79	ENSG00000133958	unc-79 homolog, NALCN channel complex subunit
TTC9	ENSG00000133985	tetratricopeptide repeat domain 9
LOXL2	ENSG00000134013	lysyl oxidase like 2
CTIF	ENSG00000134030	cap binding complex dependent translation initiation factor
MBD2	ENSG00000134046	methyl-CpG binding domain protein 2
IRAK2	ENSG00000134070	interleukin 1 receptor associated kinase 2
CAMK1	ENSG00000134072	calcium/calmodulin dependent protein kinase I
VHL	ENSG00000134086	von Hippel-Lindau tumor suppressor
ARL8B	ENSG00000134108	ADP ribosylation factor like GTPase 8B
EDEM1	ENSG00000134109	ER degradation enhancing alpha-mannosidase like protein 1
CHL1	ENSG00000134121	cell adhesion molecule L1 like
GSTM1	ENSG00000134184	glutathione S-transferase mu 1
GSTM5	ENSG00000134201	glutathione S-transferase mu 5
GSTM3	ENSG00000134202	glutathione S-transferase mu 3
SORT1	ENSG00000134243	sortilin 1
PTGFRN	ENSG00000134247	prostaglandin F2 receptor inhibitor
NOTCH2	ENSG00000134250	notch receptor 2
AP4B1	ENSG00000134262	adaptor related protein complex 4 subunit beta 1
SPIRE1	ENSG00000134278	spire type actin nucleation factor 1
PPHLN1	ENSG00000134283	periphilin 1
MYCN	ENSG00000134323	MYCN proto-oncogene, bHLH transcription factor
LPIN1	ENSG00000134324	lipin 1
CMPK2	ENSG00000134326	cytidine/uridine monophosphate kinase 2
LDHA	ENSG00000134333	lactate dehydrogenase A
NAV1	ENSG00000134369	neuron navigator 1
CRB1	ENSG00000134376	crumbs cell polarity complex component 1
NARS1	ENSG00000134440	asparaginyl-tRNA synthetase 1
FBH1	ENSG00000134452	F-box DNA helicase 1
IL2RA	ENSG00000134460	interleukin 2 receptor subunit alpha
ECHDC3	ENSG00000134463	enoyl-CoA hydratase domain containing 3
IL15RA	ENSG00000134470	interleukin 15 receptor subunit alpha
TMEM241	ENSG00000134490	transmembrane protein 241
KCTD1	ENSG00000134504	potassium channel tetramerization domain containing 1
DOCK2	ENSG00000134516	dedicator of cytokinesis 2
EMP1	ENSG00000134531	epithelial membrane protein 1
SOX5	ENSG00000134532	SRY-box transcription factor 5
LRP4	ENSG00000134569	LDL receptor related protein 4
DDB2	ENSG00000134574	damage specific DNA binding protein 2
RTL8C	ENSG00000134590	retrotransposon Gag like 8C
STK26	ENSG00000134602	serine/threonine kinase 26
PIWIL4	ENSG00000134627	piwi like RNA-mediated gene silencing 4
GNL2	ENSG00000134697	G protein nucleolar 2
AGO4	ENSG00000134698	argonaute RISC component 4
PRPF38A	ENSG00000134748	pre-mRNA processing factor 38A
DSC2	ENSG00000134755	desmocollin 2
DTNA	ENSG00000134769	dystrobrevin alpha
DAGLA	ENSG00000134780	diacylglycerol lipase alpha
SLC43A3	ENSG00000134802	solute carrier family 43 member 3
TIMM10	ENSG00000134809	translocase of inner mitochondrial membrane 10
CLOCK	ENSG00000134852	clock circadian regulator
PDGFRA	ENSG00000134853	platelet derived growth factor receptor alpha
GGACT	ENSG00000134864	gamma-glutamylamine cyclotransferase
COL4A2	ENSG00000134871	collagen type IV alpha 2 chain
UBAC2	ENSG00000134882	UBA domain containing 2
BIVM	ENSG00000134897	basic, immunoglobulin-like variable motif containing
ERCC5	ENSG00000134899	ERCC excision repair 5, endonuclease
POGLUT2	ENSG00000134901	protein O-glucosyltransferase 2
ARHGAP32	ENSG00000134909	Rho GTPase activating protein 32
ETS1	ENSG00000134954	ETS proto-oncogene 1, transcription factor
SLC37A2	ENSG00000134955	solute carrier family 37 member 2
PSAT1	ENSG00000135069	phosphoserine aminotransferase 1
ADAM19	ENSG00000135074	ADAM metallopeptidase domain 19
CCNJL	ENSG00000135083	cyclin J like
TAOK3	ENSG00000135090	TAO kinase 3
USP30	ENSG00000135093	ubiquitin specific peptidase 30
HRK	ENSG00000135116	harakiri, BCL2 interacting protein
RNFT2	ENSG00000135119	ring finger protein, transmembrane 2
P2RX4	ENSG00000135124	purinergic receptor P2X 4
DTX1	ENSG00000135144	deltex E3 ubiquitin ligase 1
CCDC146	ENSG00000135205	coiled-coil domain containing 146
HILPDA	ENSG00000135245	hypoxia inducible lipid droplet associated
SRPK2	ENSG00000135250	SRSF protein kinase 2
MDFIC	ENSG00000135272	MyoD family inhibitor domain containing
MTO1	ENSG00000135297	mitochondrial tRNA translation optimization 1
ADGRB3	ENSG00000135298	adhesion G protein-coupled receptor B3
ANKRD6	ENSG00000135299	ankyrin repeat domain 6
KHDC1	ENSG00000135314	KH domain containing 1
SYNCRIP	ENSG00000135316	synaptotagmin binding cytoplasmic RNA interacting protein
NT5E	ENSG00000135318	5'-nucleotidase ecto
EPHA7	ENSG00000135333	EPH receptor A7
PRR5L	ENSG00000135362	proline rich 5 like
LMO2	ENSG00000135363	LIM domain only 2
ITGA7	ENSG00000135424	integrin subunit alpha 7
TESPA1	ENSG00000135426	thymocyte expressed, positive selection associated 1
AGAP2	ENSG00000135439	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
COQ10A	ENSG00000135469	coenzyme Q10A
SLC26A10	ENSG00000135502	solute carrier family 26 member 10
ACVR1B	ENSG00000135503	activin A receptor type 1B
MAP7	ENSG00000135525	microtubule associated protein 7
CD164	ENSG00000135535	CD164 molecule
NHSL1	ENSG00000135540	NHS like 1
AHI1	ENSG00000135541	Abelson helper integration site 1
HEY2	ENSG00000135547	hes related family bHLH transcription factor with YRPW motif 2
SMPD2	ENSG00000135587	sphingomyelin phosphodiesterase 2
TEC	ENSG00000135605	tec protein tyrosine kinase
SEMA4F	ENSG00000135622	ssemaphorin 4F
RAB11FIP5	ENSG00000135631	RAB11 family interacting protein 5
DYSF	ENSG00000135636	dysferlin
KCNMB4	ENSG00000135643	potassium calcium-activated channel subfamily M regulatory beta subunit 4
CPM	ENSG00000135678	carboxypeptidase M
MDM2	ENSG00000135679	MDM2 proto-oncogene
KLHL36	ENSG00000135686	kelch like family member 36
KIAA0513	ENSG00000135709	KIAA0513
CCDC102A	ENSG00000135736	coiled-coil domain containing 102A
ZNF670-ZNF695	ENSG00000135747	ZNF670-ZNF695 readthrough (NMD candidate)
PCNX2	ENSG00000135749	pecanex 2
URB2	ENSG00000135763	URB2 ribosome biogenesis homolog
EGLN1	ENSG00000135766	egl-9 family hypoxia inducible factor 1
GLUL	ENSG00000135821	glutamate-ammonia ligase
NIBAN1	ENSG00000135842	niban apoptosis regulator 1
LAMC1	ENSG00000135862	laminin subunit gamma 1
GPR55	ENSG00000135898	G protein-coupled receptor 55
SP110	ENSG00000135899	SP110 nuclear body protein
ITM2C	ENSG00000135916	integral membrane protein 2C
SERPINE2	ENSG00000135919	serpin family E member 2
TMBIM1	ENSG00000135926	transmembrane BAX inhibitor motif containing 1
EIF4E2	ENSG00000135930	eukaryotic translation initiation factor 4E family member 2
ARMC9	ENSG00000135931	armadillo repeat containing 9
CAB39	ENSG00000135932	calcium binding protein 39
REV1	ENSG00000135945	REV1 DNA directed polymerase
TGFBRAP1	ENSG00000135966	transforming growth factor beta receptor associated protein 1
ARHGEF4	ENSG00000136002	Rho guanine nucleotide exchange factor 4
ALDH1L2	ENSG00000136010	aldehyde dehydrogenase 1 family member L2
PLXNC1	ENSG00000136040	plexin C1
DRAM1	ENSG00000136048	DNA damage regulated autophagy modulator 1
FLNB	ENSG00000136068	filamin B
NEK3	ENSG00000136098	NIMA related kinase 3
PCDH8	ENSG00000136099	protocadherin 8
TBC1D4	ENSG00000136111	TBC1 domain family member 4
THSD1	ENSG00000136114	thrombospondin type 1 domain containing 1
RCBTB1	ENSG00000136144	RCC1 and BTB domain containing protein 1
PHF11	ENSG00000136147	PHD finger protein 11
COG3	ENSG00000136152	component of oligomeric golgi complex 3
LMO7	ENSG00000136153	LIM domain 7
SPRY2	ENSG00000136158	sprouty RTK signaling antagonist 2
EDNRB	ENSG00000136160	endothelin receptor type B
RCBTB2	ENSG00000136161	RCC1 and BTB domain containing protein 2
LCP1	ENSG00000136167	lymphocyte cytosolic protein 1
TNS3	ENSG00000136205	tensin 3
CHST12	ENSG00000136213	carbohydrate sulfotransferase 12
IGF2BP3	ENSG00000136231	insulin like growth factor 2 mRNA binding protein 3
RAPGEF5	ENSG00000136237	Rap guanine nucleotide exchange factor 5
BZW2	ENSG00000136261	basic leucine zipper and W2 domains 2
TBRG4	ENSG00000136270	transforming growth factor beta regulator 4
NACAD	ENSG00000136274	NAC alpha domain containing
MYO1G	ENSG00000136286	myosin IG
ADAMTS7	ENSG00000136378	ADAM metallopeptidase with thrombospondin type 1 motif 7
ABHD17C	ENSG00000136379	abhydrolase domain containing 17C, depalmitoylase
TM6SF1	ENSG00000136404	transmembrane 6 superfamily member 1
CIB2	ENSG00000136425	calcium and integrin binding family member 2
CALCOCO2	ENSG00000136436	calcium binding and coiled-coil domain 2
MYCBPAP	ENSG00000136449	MYCBP associated protein
VEZF1	ENSG00000136451	vascular endothelial zinc finger 1
LIMD2	ENSG00000136490	LIM domain containing 2
SCN2A	ENSG00000136531	sodium voltage-gated channel alpha subunit 2
BLK	ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase
HLX	ENSG00000136630	H2.0 like homeobox
KCTD3	ENSG00000136636	potassium channel tetramerization domain containing 3
CBWD2	ENSG00000136682	COBW domain containing 2
BIN1	ENSG00000136717	bridging integrator 1
HS6ST1	ENSG00000136720	heparan sulfate 6-O-sulfotransferase 1
DNAJC1	ENSG00000136770	DnaJ heat shock protein family (Hsp40) member C1
CDK9	ENSG00000136807	cyclin dependent kinase 9
ODF2	ENSG00000136811	outer dense fiber of sperm tails 2
ECPAS	ENSG00000136813	Ecm29 proteasome adaptor and scaffold
TOR1B	ENSG00000136816	torsin family 1 member B
NIBAN2	ENSG00000136830	niban apoptosis regulator 2
ST6GALNAC4	ENSG00000136840	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
DAB2IP	ENSG00000136848	DAB2 interacting protein
STXBP1	ENSG00000136854	syntaxin binding protein 1
SLC2A8	ENSG00000136856	solute carrier family 2 member 8
ANGPTL2	ENSG00000136859	angiopoietin like 2
ZFP37	ENSG00000136866	ZFP37 zinc finger protein
SLC31A1	ENSG00000136868	solute carrier family 31 member 1
KIF12	ENSG00000136883	kinesin family member 12
TEX10	ENSG00000136891	testis expressed 10
GARNL3	ENSG00000136895	GTPase activating Rap/RanGAP domain like 3
GABBR2	ENSG00000136928	gamma-aminobutyric acid type B receptor subunit 2
XPA	ENSG00000136936	XPA, DNA damage recognition and repair factor
