VAR	ENSEMBL	NAME
FBXO24	ENSG00000106336	F-box protein 24
AGFG2	ENSG00000106351	ArfGAP with FG repeats 2
SERPINE1	ENSG00000106366	serpin family E member 1
GLCCI1	ENSG00000106415	glucocorticoid induced 1
NRF1	ENSG00000106459	nuclear respiratory factor 1
EZH2	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit
MEST	ENSG00000106484	mesoderm specific transcript
TSPAN13	ENSG00000106537	tetraspanin 13
AHR	ENSG00000106546	aryl hydrocarbon receptor
GLI3	ENSG00000106571	GLI family zinc finger 3
MRPL32	ENSG00000106591	mitochondrial ribosomal protein L32
COA1	ENSG00000106603	cytochrome c oxidase assembly factor 1 homolog
BLVRA	ENSG00000106605	biliverdin reductase A
PRKAG2	ENSG00000106617	protein kinase AMP-activated non-catalytic subunit gamma 2
CLIP2	ENSG00000106665	CAP-Gly domain containing linker protein 2
FSD1L	ENSG00000106701	fibronectin type III and SPRY domain containing 1 like
NMRK1	ENSG00000106733	nicotinamide riboside kinase 1
TMEM245	ENSG00000106771	transmembrane protein 245
PRUNE2	ENSG00000106772	prune homolog 2 with BCH domain
MEGF9	ENSG00000106780	multiple EGF like domains 9
CORO2A	ENSG00000106789	coronin 2A
TGFBR1	ENSG00000106799	transforming growth factor beta receptor 1
C5	ENSG00000106804	complement C5
LHX6	ENSG00000106852	LIM homeobox 6
PTGR1	ENSG00000106853	prostaglandin reductase 1
SUSD1	ENSG00000106868	sushi domain containing 1
TNFSF8	ENSG00000106952	TNF superfamily member 8
DNM1	ENSG00000106976	dynamin 1
CDC37L1	ENSG00000106993	cell division cycle 37 like 1
KANK1	ENSG00000107104	KN motif and ankyrin repeat domains 1
FUBP3	ENSG00000107164	far upstream element binding protein 3
RGP1	ENSG00000107185	RGP1 homolog, RAB6A GEF complex partner 1
DDX58	ENSG00000107201	DExD/H-box helicase 58
PIP5K1B	ENSG00000107242	phosphatidylinositol-4-phosphate 5-kinase type 1 beta
NPDC1	ENSG00000107281	neural proliferation, differentiation and control 1
APBA1	ENSG00000107282	amyloid beta precursor protein binding family A member 1
UBE2R2	ENSG00000107341	ubiquitin conjugating enzyme E2 R2
DVL1	ENSG00000107404	dishevelled segment polarity protein 1
PDLIM1	ENSG00000107438	PDZ and LIM domain 1
CCNJ	ENSG00000107443	cyclin J
DNTT	ENSG00000107447	DNA nucleotidylexotransferase
ATRNL1	ENSG00000107518	attractin like 1
PHYH	ENSG00000107537	phytanoyl-CoA 2-hydroxylase
RASSF4	ENSG00000107551	Ras association domain family member 4
PLEKHA1	ENSG00000107679	pleckstrin homology domain containing A1
PALD1	ENSG00000107719	phosphatase domain containing paladin 1
CDH23	ENSG00000107736	cadherin related 23
VSIR	ENSG00000107738	V-set immunoregulatory receptor
SPOCK2	ENSG00000107742	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
MICU1	ENSG00000107745	mitochondrial calcium uptake 1
CCSER2	ENSG00000107771	coiled-coil serine rich protein 2
BMPR1A	ENSG00000107779	bone morphogenetic protein receptor type 1A
LZTS2	ENSG00000107816	leucine zipper tumor suppressor 2
SFXN3	ENSG00000107819	sideroflexin 3
KAZALD1	ENSG00000107821	Kazal type serine peptidase inhibitor domain 1
ARHGAP21	ENSG00000107863	Rho GTPase activating protein 21
CPEB3	ENSG00000107864	cytoplasmic polyadenylation element binding protein 3
LHPP	ENSG00000107902	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
GTPBP4	ENSG00000107937	GTP binding protein 4
NEURL1	ENSG00000107954	neuralized E3 ubiquitin protein ligase 1
SH3PXD2A	ENSG00000107957	SH3 and PX domains 2A
XPNPEP1	ENSG00000108039	X-prolyl aminopeptidase 1
SMC3	ENSG00000108055	structural maintenance of chromosomes 3
CCDC6	ENSG00000108091	coiled-coil domain containing 6
DNAJC12	ENSG00000108176	DnaJ heat shock protein family (Hsp40) member C12
RGS9	ENSG00000108370	regulator of G protein signaling 9
WNT3	ENSG00000108379	Wnt family member 3
KPNB1	ENSG00000108424	karyopherin subunit beta 1
TRIM16L	ENSG00000108448	tripartite motif containing 16 like
CBX1	ENSG00000108468	chromobox 1
GALK1	ENSG00000108479	galactokinase 1
RASD1	ENSG00000108551	ras related dexamethasone induced 1
FTSJ3	ENSG00000108592	FtsJ RNA 2'-O-methyltransferase 3
SMARCD2	ENSG00000108604	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
B9D1	ENSG00000108641	B9 domain containing 1
LGALS3BP	ENSG00000108679	galectin 3 binding protein
DHX58	ENSG00000108771	DExH-box helicase 58
ABI3	ENSG00000108798	ABI family member 3
PPP1R9B	ENSG00000108819	protein phosphatase 1 regulatory subunit 9B
VAT1	ENSG00000108828	vesicle amine transport 1
MPP2	ENSG00000108852	membrane palmitoylated protein 2
SMURF2	ENSG00000108854	SMAD specific E3 ubiquitin protein ligase 2
DUSP3	ENSG00000108861	dual specificity phosphatase 3
EFTUD2	ENSG00000108883	elongation factor Tu GTP binding domain containing 2
YWHAE	ENSG00000108953	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
MMD	ENSG00000108960	monocyte to macrophage differentiation associated
MAP2K6	ENSG00000108984	mitogen-activated protein kinase kinase 6
SLC9A3R1	ENSG00000109062	SLC9A3 regulator 1
TMEM104	ENSG00000109066	transmembrane protein 104
IFT20	ENSG00000109083	intraflagellar transport 20
CDR2L	ENSG00000109089	cerebellar degeneration related protein 2 like
UNC119	ENSG00000109103	unc-119 lipid binding chaperone
ALDOC	ENSG00000109107	aldolase, fructose-bisphosphate C
RAB34	ENSG00000109113	RAB34, member RAS oncogene family
USP46	ENSG00000109189	ubiquitin specific peptidase 46
MANBA	ENSG00000109323	mannosidase beta
MAPK10	ENSG00000109339	mitogen-activated protein kinase 10
TBC1D9	ENSG00000109436	TBC1 domain family member 9
ZNF330	ENSG00000109445	zinc finger protein 330
INPP4B	ENSG00000109452	inositol polyphosphate-4-phosphatase type II B
GAB1	ENSG00000109458	GRB2 associated binding protein 1
KLHL2	ENSG00000109466	kelch like family member 2
AADAT	ENSG00000109576	aminoadipate aminotransferase
TRIM2	ENSG00000109654	tripartite motif containing 2
SLC2A9	ENSG00000109667	solute carrier family 2 member 9
FBXW7	ENSG00000109670	F-box and WD repeat domain containing 7
HGFAC	ENSG00000109758	HGF activator
SNX25	ENSG00000109762	sorting nexin 25
LRP2BP	ENSG00000109771	LRP2 binding protein
KLF3	ENSG00000109787	Kruppel like factor 3
KLHL5	ENSG00000109790	kelch like family member 5
CTSC	ENSG00000109861	cathepsin C
ZBTB16	ENSG00000109906	zinc finger and BTB domain containing 16
JHY	ENSG00000109944	junctional cadherin complex regulator
B3GAT1	ENSG00000109956	beta-1,3-glucuronyltransferase 1
SIAE	ENSG00000110013	sialic acid acetylesterase
LPXN	ENSG00000110031	leupaxin
DTX4	ENSG00000110042	deltex E3 ubiquitin ligase 4
EHD1	ENSG00000110047	EH domain containing 1
KMT5B	ENSG00000110066	lysine methyltransferase 5B
NRXN2	ENSG00000110076	neurexin 2
MS4A6A	ENSG00000110077	membrane spanning 4-domains A6A
MS4A4A	ENSG00000110079	membrane spanning 4-domains A4A
CPT1A	ENSG00000110090	carnitine palmitoyltransferase 1A
CCND1	ENSG00000110092	cyclin D1
CCDC86	ENSG00000110104	coiled-coil domain containing 86
ARHGEF17	ENSG00000110237	Rho guanine nucleotide exchange factor 17
CEP126	ENSG00000110318	centrosomal protein 126
NECTIN1	ENSG00000110400	nectin cell adhesion molecule 1
KIAA1549L	ENSG00000110427	KIAA1549 like
SLC15A3	ENSG00000110446	solute carrier family 15 member 3
ACCS	ENSG00000110455	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
MDK	ENSG00000110492	midkine
SLC22A18	ENSG00000110628	solute carrier family 22 member 18
CD81	ENSG00000110651	CD81 molecule
SLC35F2	ENSG00000110660	solute carrier family 35 member F2
C11orf21	ENSG00000110665	chromosome 11 open reading frame 21
CHKA	ENSG00000110721	choline kinase alpha
EXPH5	ENSG00000110723	exophilin 5
VWF	ENSG00000110799	von Willebrand factor
P3H3	ENSG00000110811	prolyl 3-hydroxylase 3
PPFIBP1	ENSG00000110841	PPFIA binding protein 1
PRDM4	ENSG00000110851	PR/SET domain 4
CORO1C	ENSG00000110880	coronin 1C
ASIC1	ENSG00000110881	acid sensing ion channel subunit 1
KCTD10	ENSG00000110906	potassium channel tetramerization domain containing 10
SLC11A2	ENSG00000110911	solute carrier family 11 member 2
IL23A	ENSG00000110944	interleukin 23 subunit alpha
BCL7A	ENSG00000110987	BAF chromatin remodeling complex subunit BCL7A
CYP27B1	ENSG00000111012	cytochrome P450 family 27 subfamily B member 1
TNS2	ENSG00000111077	tensin 2
PPM1H	ENSG00000111110	protein phosphatase, Mg2+/Mn2+ dependent 1H
LTA4H	ENSG00000111144	leukotriene A4 hydrolase
ELK3	ENSG00000111145	ETS transcription factor ELK3
CUX2	ENSG00000111249	cut like homeobox 2
AKAP3	ENSG00000111254	A-kinase anchoring protein 3
DUSP16	ENSG00000111266	dual specificity phosphatase 16
SCNN1A	ENSG00000111319	sodium channel epithelial 1 subunit alpha
LTBR	ENSG00000111321	lymphotoxin beta receptor
OAS3	ENSG00000111331	2'-5'-oligoadenylate synthetase 3
RASAL1	ENSG00000111344	RAS protein activator like 1
VDR	ENSG00000111424	vitamin D receptor
RFC5	ENSG00000111445	replication factor C subunit 5
STX2	ENSG00000111450	syntaxin 2
ADGRD1	ENSG00000111452	adhesion G protein-coupled receptor D1
TBC1D30	ENSG00000111490	TBC1 domain family member 30
NUP107	ENSG00000111581	nucleoporin 107
GNPTAB	ENSG00000111670	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
ENO2	ENSG00000111674	enolase 2
PTPN6	ENSG00000111679	protein tyrosine phosphatase non-receptor type 6
NT5DC3	ENSG00000111696	5'-nucleotidase domain containing 3
SUDS3	ENSG00000111707	SDS3 homolog, SIN3A corepressor complex component
PRKAB1	ENSG00000111725	protein kinase AMP-activated non-catalytic subunit beta 1
CLEC4A	ENSG00000111729	C-type lectin domain family 4 member A
RAB35	ENSG00000111737	RAB35, member RAS oncogene family
DSE	ENSG00000111817	dermatan sulfate epimerase
NEDD9	ENSG00000111859	neural precursor cell expressed, developmentally down-regulated 9
CEP85L	ENSG00000111860	centrosomal protein 85 like
ADTRP	ENSG00000111863	androgen dependent TFPI regulating protein
FAM184A	ENSG00000111879	family with sequence similarity 184 member A
MAN1A1	ENSG00000111885	mannosidase alpha class 1A member 1
RIPOR2	ENSG00000111913	RHO family interacting cell polarization regulator 2
UST	ENSG00000111962	uronyl 2-sulfotransferase
FBXO5	ENSG00000112029	F-box protein 5
MAPK14	ENSG00000112062	mitogen-activated protein kinase 14
PHACTR1	ENSG00000112137	phosphatase and actin regulator 1
MDGA1	ENSG00000112139	MAM domain containing glycosylphosphatidylinositol anchor 1
GLP1R	ENSG00000112164	glucagon like peptide 1 receptor
BACH2	ENSG00000112182	BTB domain and CNC homolog 2
TREML2	ENSG00000112195	triggering receptor expressed on myeloid cells like 2
BAG2	ENSG00000112208	BAG cochaperone 2
GPR63	ENSG00000112218	G protein-coupled receptor 63
KHDRBS2	ENSG00000112232	KH RNA binding domain containing, signal transduction associated 2
GPLD1	ENSG00000112293	glycosylphosphatidylinositol specific phospholipase D1
CRYBG1	ENSG00000112297	crystallin beta-gamma domain containing 1
VNN1	ENSG00000112299	vanin 1
GMNN	ENSG00000112312	geminin DNA replication inhibitor
SOBP	ENSG00000112320	sine oculis binding protein homolog
TRIM38	ENSG00000112343	tripartite motif containing 38
ZBTB24	ENSG00000112365	zinc finger and BTB domain containing 24
SLC16A10	ENSG00000112394	solute carrier family 16 member 10
EPM2A	ENSG00000112425	EPM2A glucan phosphatase, laforin
MDFI	ENSG00000112559	MyoD family inhibitor
TFEB	ENSG00000112561	transcription factor EB
BICRAL	ENSG00000112624	BRD4 interacting chromatin remodeling complex associated protein like
PTK7	ENSG00000112655	protein tyrosine kinase 7 (inactive)
GMDS	ENSG00000112699	GDP-mannose 4,6-dehydratase
LY86	ENSG00000112799	lymphocyte antigen 86
PCDHB2	ENSG00000112852	protocadherin beta 2
NUDT12	ENSG00000112874	nudix hydrolase 12
MRPS27	ENSG00000113048	mitochondrial ribosomal protein S27
SPARC	ENSG00000113140	secreted protein acidic and cysteine rich
IK	ENSG00000113141	IK cytokine
FAF2	ENSG00000113194	Fas associated factor family member 2
PDE8B	ENSG00000113231	phosphodiesterase 8B
PCDHB15	ENSG00000113248	protocadherin beta 15
RNF130	ENSG00000113269	ring finger protein 130
POLR3G	ENSG00000113356	RNA polymerase III subunit G
GNPDA1	ENSG00000113552	glucosamine-6-phosphate deaminase 1
DPYSL3	ENSG00000113657	dihydropyrimidinase like 3
HMGXB3	ENSG00000113716	HMG-box containing 3
ERGIC1	ENSG00000113719	endoplasmic reticulum-golgi intermediate compartment 1
PDGFRB	ENSG00000113721	platelet derived growth factor receptor beta
HRH2	ENSG00000113749	histamine receptor H2
DBN1	ENSG00000113758	drebrin 1
EHHADH	ENSG00000113790	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
BCL6	ENSG00000113916	BCL6 transcription repressor
ARL6	ENSG00000113966	ADP ribosylation factor like GTPase 6
CD86	ENSG00000114013	CD86 molecule
AMOTL2	ENSG00000114019	angiomotin like 2
OGG1	ENSG00000114026	8-oxoguanine DNA glycosylase
TFDP2	ENSG00000114126	transcription factor Dp-2
SERPINI2	ENSG00000114204	serpin family I member 2
PFKFB4	ENSG00000114268	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
TUSC2	ENSG00000114383	tumor suppressor 2, mitochondrial calcium regulator
HHLA2	ENSG00000114455	HERV-H LTR-associating 2
IQCG	ENSG00000114473	IQ motif containing G
C3orf52	ENSG00000114529	chromosome 3 open reading frame 52
FRMD4B	ENSG00000114541	FERM domain containing 4B
PODXL2	ENSG00000114631	podocalyxin like 2
EFCC1	ENSG00000114654	EF-hand and coiled-coil domain containing 1
CISH	ENSG00000114737	cytokine inducible SH2 containing protein
MAPKAPK3	ENSG00000114738	MAPK activated protein kinase 3
ACVR2B	ENSG00000114739	activin A receptor type 2B
PLCH1	ENSG00000114805	phospholipase C eta 1
VIPR1	ENSG00000114812	vasoactive intestinal peptide receptor 1
ZBTB47	ENSG00000114853	zinc finger and BTB domain containing 47
SLC4A3	ENSG00000114923	solute carrier family 4 member 3
TTL	ENSG00000114999	tubulin tyrosine ligase
NCL	ENSG00000115053	nucleolin
ZAP70	ENSG00000115085	zeta chain of T cell receptor associated protein kinase 70
EPB41L5	ENSG00000115109	erythrocyte membrane protein band 4.1 like 5
TP53I3	ENSG00000115129	tumor protein p53 inducible protein 3
POMC	ENSG00000115138	proopiomelanocortin
OTOF	ENSG00000115155	otoferlin
GPD2	ENSG00000115159	glycerol-3-phosphate dehydrogenase 2
ACVR1	ENSG00000115170	activin A receptor type 1
TANC1	ENSG00000115183	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
GTF3C2	ENSG00000115207	general transcription factor IIIC subunit 2
ITGA4	ENSG00000115232	integrin subunit alpha 4
REEP6	ENSG00000115255	receptor accessory protein 6
PCSK4	ENSG00000115257	proprotein convertase subtilisin/kexin type 4
LOXL3	ENSG00000115318	lysyl oxidase like 3
GALNT3	ENSG00000115339	polypeptide N-acetylgalactosaminyltransferase 3
EVA1A	ENSG00000115363	eva-1 homolog A, regulator of programmed cell death
EFEMP1	ENSG00000115380	EGF containing fibulin extracellular matrix protein 1
STAT1	ENSG00000115415	signal transducer and activator of transcription 1
DNAH6	ENSG00000115423	dynein axonemal heavy chain 6
IGFBP2	ENSG00000115457	insulin like growth factor binding protein 2
ST3GAL5	ENSG00000115525	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
IL18R1	ENSG00000115604	interleukin 18 receptor 1
UXS1	ENSG00000115652	UDP-glucuronate decarboxylase 1
STK16	ENSG00000115661	serine/threonine kinase 16
PASK	ENSG00000115687	PAS domain containing serine/threonine kinase
PLEKHB2	ENSG00000115762	pleckstrin homology domain containing B2
PRKD3	ENSG00000115825	protein kinase D3
RMDN2	ENSG00000115841	regulator of microtubule dynamics 2
LCT	ENSG00000115850	lactase
SDC1	ENSG00000115884	syndecan 1
SLC1A4	ENSG00000115902	solute carrier family 1 member 4
WIPF1	ENSG00000115935	WAS/WASL interacting protein family member 1
EPAS1	ENSG00000116016	endothelial PAS domain protein 1
NFE2L2	ENSG00000116044	nuclear factor, erythroid 2 like 2
MSH6	ENSG00000116062	mutS homolog 6
SPR	ENSG00000116096	sepiapterin reductase
EPHA4	ENSG00000116106	EPH receptor A4
PARD3B	ENSG00000116117	par-3 family cell polarity regulator beta
BCL9	ENSG00000116128	BCL9 transcription coactivator
TNR	ENSG00000116147	tenascin R
GPX7	ENSG00000116157	glutathione peroxidase 7
RALGPS2	ENSG00000116191	Ral GEF with PH domain and SH3 binding motif 2
CHD5	ENSG00000116254	chromodomain helicase DNA binding protein 5
PHF13	ENSG00000116273	PHD finger protein 13
KCNC4	ENSG00000116396	potassium voltage-gated channel subfamily C member 4
CAPZA1	ENSG00000116489	capping actin protein of muscle Z-line subunit alpha 1
DLGAP3	ENSG00000116544	DLG associated protein 3
RHOU	ENSG00000116574	ras homolog family member U
ARHGEF2	ENSG00000116584	Rho/Rac guanine nucleotide exchange factor 2
FBXO6	ENSG00000116663	F-box protein 6
C1orf21	ENSG00000116667	chromosome 1 open reading frame 21
SWT1	ENSG00000116668	SWT1 RNA endoribonuclease homolog
MAD2L2	ENSG00000116670	mitotic arrest deficient 2 like 2
IVNS1ABP	ENSG00000116679	influenza virus NS1A binding protein
NCF2	ENSG00000116701	neutrophil cytosolic factor 2
AGMAT	ENSG00000116771	agmatinase
PHTF1	ENSG00000116793	putative homeodomain transcription factor 1
CD58	ENSG00000116815	CD58 molecule
OSCP1	ENSG00000116885	organic solute carrier partner 1
LGALS8	ENSG00000116977	galectin 8
MYCL	ENSG00000116990	MYCL proto-oncogene, bHLH transcription factor
SIPA1L2	ENSG00000116991	signal induced proliferation associated 1 like 2
KCNQ4	ENSG00000117013	potassium voltage-gated channel subfamily Q member 4
RIMS3	ENSG00000117016	regulating synaptic membrane exocytosis 3
AKT3	ENSG00000117020	AKT serine/threonine kinase 3
CD48	ENSG00000117091	CD48 molecule
MFAP2	ENSG00000117122	microfibril associated protein 2
KDM5B	ENSG00000117139	lysine demethylase 5B
SSX2IP	ENSG00000117155	SSX family member 2 interacting protein
GBP1	ENSG00000117228	guanylate binding protein 1
KIF17	ENSG00000117245	kinesin family member 17
RAB29	ENSG00000117280	RAB29, member RAS oncogene family
GALE	ENSG00000117308	UDP-galactose-4-epimerase
ID3	ENSG00000117318	inhibitor of DNA binding 3, HLH protein
CR2	ENSG00000117322	complement C3d receptor 2
CD46	ENSG00000117335	CD46 molecule
FAAH	ENSG00000117480	fatty acid amide hydrolase
NSUN4	ENSG00000117481	NOP2/Sun RNA methyltransferase 4
CNN3	ENSG00000117519	calponin 3
ABCD3	ENSG00000117528	ATP binding cassette subfamily D member 3
TNFSF4	ENSG00000117586	TNF superfamily member 4
MAN1C1	ENSG00000117643	mannosidase alpha class 1C member 1
PROX1	ENSG00000117707	prospero homeobox 1
STX12	ENSG00000117758	syntaxin 12
TXNDC12	ENSG00000117862	thioredoxin domain containing 12
ESYT2	ENSG00000117868	extended synaptotagmin 2
CHRNB4	ENSG00000117971	cholinergic receptor nicotinic beta 4 subunit
DDX59	ENSG00000118197	DEAD-box helicase 59
CAMSAP2	ENSG00000118200	calmodulin regulated spectrin associated protein family member 2
NRP2	ENSG00000118257	neuropilin 2
KLF7	ENSG00000118263	Kruppel like factor 7
B4GALT6	ENSG00000118276	beta-1,4-galactosyltransferase 6
C1orf54	ENSG00000118292	chromosome 1 open reading frame 54
SGIP1	ENSG00000118473	SH3GL interacting endocytic adaptor 1
PLAGL1	ENSG00000118495	PLAG1 like zinc finger 1
FBXO30	ENSG00000118496	F-box protein 30
AKAP7	ENSG00000118507	A-kinase anchoring protein 7
CCN2	ENSG00000118523	cellular communication network factor 2
ARMC2	ENSG00000118690	armadillo repeat containing 2
TGIF2	ENSG00000118707	TGFB induced factor homeobox 2
ABCG2	ENSG00000118777	ATP binding cassette subfamily G member 2 (Junior blood group)
SPP1	ENSG00000118785	secreted phosphoprotein 1
KLF12	ENSG00000118922	Kruppel like factor 12
HS1BP3	ENSG00000118960	HCLS1 binding protein 3
WDR35	ENSG00000118965	WD repeat domain 35
CCND2	ENSG00000118971	cyclin D2
SATB2	ENSG00000119042	SATB homeobox 2
TJP2	ENSG00000119139	tight junction protein 2
PIGZ	ENSG00000119227	phosphatidylinositol glycan anchor biosynthesis class Z
C1orf198	ENSG00000119280	chromosome 1 open reading frame 198
CTNNAL1	ENSG00000119326	catenin alpha like 1
ABITRAM	ENSG00000119328	actin binding transcription modulator
TRIM32	ENSG00000119401	tripartite motif containing 32
FBXW2	ENSG00000119402	F-box and WD repeat domain containing 2
PHF19	ENSG00000119403	PHD finger protein 19
NEK6	ENSG00000119408	NIMA related kinase 6
BSPRY	ENSG00000119411	B-box and SPRY domain containing
MAPKAP1	ENSG00000119487	MAPK associated protein 1
GALNT12	ENSG00000119514	polypeptide N-acetylgalactosaminyltransferase 12
CSF3R	ENSG00000119535	colony stimulating factor 3 receptor
KDSR	ENSG00000119537	3-ketodihydrosphingosine reductase
ONECUT2	ENSG00000119547	one cut homeobox 2
DCAF4	ENSG00000119599	DDB1 and CUL4 associated factor 4
IFT43	ENSG00000119650	intraflagellar transport 43
LTBP2	ENSG00000119681	latent transforming growth factor beta binding protein 2
AREL1	ENSG00000119682	apoptosis resistant E3 ubiquitin protein ligase 1
FLVCR2	ENSG00000119686	FLVCR heme transporter 2
TGFB3	ENSG00000119699	transforming growth factor beta 3
RHOQ	ENSG00000119729	ras homolog family member Q
AFTPH	ENSG00000119844	aftiphilin
SLC17A5	ENSG00000119899	solute carrier family 17 member 5
OGFRL1	ENSG00000119900	opioid growth factor receptor like 1
IFIT3	ENSG00000119917	interferon induced protein with tetratricopeptide repeats 3
PYROXD2	ENSG00000119943	pyridine nucleotide-disulphide oxidoreductase domain 2
CNNM1	ENSG00000119946	cyclin and CBS domain divalent metal cation transport mediator 1
CFAP58	ENSG00000120051	cilia and flagella associated protein 58
HOXB3	ENSG00000120093	homeobox B3
MOB3B	ENSG00000120162	MOB kinase activator 3B
CD274	ENSG00000120217	CD274 molecule
MTHFD1L	ENSG00000120254	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
LRP11	ENSG00000120256	LDL receptor related protein 11
PLEKHG1	ENSG00000120278	pleckstrin homology and RhoGEF domain containing G1
ARAP3	ENSG00000120318	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
PCDHB10	ENSG00000120324	protocadherin beta 10
PCDHB14	ENSG00000120327	protocadherin beta 14
PCDHB12	ENSG00000120328	protocadherin beta 12
KIAA1217	ENSG00000120549	KIAA1217
PLXDC2	ENSG00000120594	plexin domain containing 2
IQSEC3	ENSG00000120645	IQ motif and Sec7 domain ArfGEF 3
ENOX1	ENSG00000120658	ecto-NOX disulfide-thiol exchanger 1
MTRF1	ENSG00000120662	mitochondrial translation release factor 1
DNAJC15	ENSG00000120675	DnaJ heat shock protein family (Hsp40) member C15
WBP4	ENSG00000120688	WW domain binding protein 4
HSPH1	ENSG00000120694	heat shock protein family H (Hsp110) member 1
EXOSC8	ENSG00000120699	exosome component 8
KDM3B	ENSG00000120733	lysine demethylase 3B
SOCS2	ENSG00000120833	suppressor of cytokine signaling 2
APAF1	ENSG00000120868	apoptotic peptidase activating factor 1
TNFRSF10B	ENSG00000120889	TNF receptor superfamily member 10b
PTK2B	ENSG00000120899	protein tyrosine kinase 2 beta
PPP3CC	ENSG00000120910	protein phosphatase 3 catalytic subunit gamma
PDLIM2	ENSG00000120913	PDZ and LIM domain 2
EPHX2	ENSG00000120915	epoxide hydrolase 2
TNFRSF8	ENSG00000120949	TNF receptor superfamily member 8
CRISPLD1	ENSG00000121005	cysteine rich secretory protein LCCL domain containing 1
RDH10	ENSG00000121039	retinol dehydrogenase 10
TRIM25	ENSG00000121060	tripartite motif containing 25
SCPEP1	ENSG00000121064	serine carboxypeptidase 1
TMEM131L	ENSG00000121210	transmembrane 131 like
TRIM6	ENSG00000121236	tripartite motif containing 6
TENT4B	ENSG00000121274	terminal nucleotidyltransferase 4B
ADCY7	ENSG00000121281	adenylate cyclase 7
TSHZ3	ENSG00000121297	teashirt zinc finger homeobox 3
ECHDC2	ENSG00000121310	enoyl-CoA hydratase domain containing 2
BCL2L14	ENSG00000121380	BCL2 like 14
ZSCAN18	ENSG00000121413	zinc finger and SCAN domain containing 18
NAA50	ENSG00000121579	N-alpha-acetyltransferase 50, NatE catalytic subunit
KIF18A	ENSG00000121621	kinesin family member 18A
PEX16	ENSG00000121680	peroxisomal biogenesis factor 16
DEPDC7	ENSG00000121690	DEP domain containing 7
GJA3	ENSG00000121743	gap junction protein alpha 3
ADGRB2	ENSG00000121753	adhesion G protein-coupled receptor B2
TMEM156	ENSG00000121895	transmembrane protein 156
TMIGD3	ENSG00000121933	transmembrane and immunoglobulin domain containing 3
GTDC1	ENSG00000121964	glycosyltransferase like domain containing 1
ACVR2A	ENSG00000121989	activin A receptor type 2A
SV2C	ENSG00000122012	synaptic vesicle glycoprotein 2C
FLT3	ENSG00000122025	fms related receptor tyrosine kinase 3
XPNPEP2	ENSG00000122121	X-prolyl aminopeptidase 2
SASH3	ENSG00000122122	SAM and SH3 domain containing 3
OCRL	ENSG00000122126	OCRL inositol polyphosphate-5-phosphatase
LAX1	ENSG00000122188	lymphocyte transmembrane adaptor 1
LY9	ENSG00000122224	lymphocyte antigen 9
SERAC1	ENSG00000122335	serine active site containing 1
ANXA11	ENSG00000122359	annexin A11
SHLD2	ENSG00000122376	shieldin complex subunit 2
PRXL2A	ENSG00000122378	peroxiredoxin like 2A
ODF2L	ENSG00000122417	outer dense fiber of sperm tails 2 like
SLC66A2	ENSG00000122490	solute carrier family 66 member 2
EEPD1	ENSG00000122547	endonuclease/exonuclease/phosphatase family domain containing 1
NPY	ENSG00000122585	neuropeptide Y
FKBP9	ENSG00000122642	FKBP prolyl isomerase 9
RECK	ENSG00000122707	reversion inducing cysteine rich protein with kazal motifs
ACO1	ENSG00000122729	aconitase 1
KIAA1549	ENSG00000122778	KIAA1549
TRIM24	ENSG00000122779	tripartite motif containing 24
CALD1	ENSG00000122786	caldesmon 1
NUDT10	ENSG00000122824	nudix hydrolase 10
CHST3	ENSG00000122863	carbohydrate sulfotransferase 3
HVCN1	ENSG00000122986	hydrogen voltage gated channel 1
CDKN2C	ENSG00000123080	cyclin dependent kinase inhibitor 2C
RASSF8	ENSG00000123094	Ras association domain family member 8
WWP1	ENSG00000123124	WW domain containing E3 ubiquitin protein ligase 1
ACOT9	ENSG00000123130	acyl-CoA thioesterase 9
GIPC1	ENSG00000123159	GIPC PDZ domain containing family member 1
ATP7B	ENSG00000123191	ATPase copper transporting beta
NLN	ENSG00000123213	neurolysin
OPTN	ENSG00000123240	optineurin
SPATS2	ENSG00000123352	spermatogenesis associated serine rich 2
CDK2	ENSG00000123374	cyclin dependent kinase 2
EEF1AKMT3	ENSG00000123427	EEF1A lysine methyltransferase 3
SARDH	ENSG00000123453	sarcosine dehydrogenase
STIL	ENSG00000123473	STIL centriolar assembly protein
USP45	ENSG00000123552	ubiquitin specific peptidase 45
MORF4L2	ENSG00000123562	mortality factor 4 like 2
LPGAT1	ENSG00000123684	lysophosphatidylglycerol acyltransferase 1
BATF3	ENSG00000123685	basic leucine zipper ATF-like transcription factor 3
